Score,Reviews
8.0,整體來說還不錯!”周圍環境機能不錯，早餐豐富，服務也很好!
7.6,不錯還可以”靠馬路的房間晚上很吵~
7.2,不喜歡”地毯髒污及廁所洗手台有灰塵，餐廳咖啡杯不乾淨
9.6,不錯唷”雖然下雨有點掃興 但住宿品質不錯喔
8.4,CP值很好！”地理位子很好，房間很乾淨！
5.6,整潔度有待加強  其他部分尚可”飯店地點與空間大小不錯  可是浴巾有破洞 床頭櫃有點黏黏的 (應該是飲料的痕跡)
8.0,好棒”早餐希望更豐富一點
9.6,大致滿意，交通方便，設備齊全。”浴室有少許漏水到地板上
9.2,乾淨”近捷運站
8.4,"很好的住宿體驗”特別感泊車人員的熱心指路及櫃枱人員的協助,讓我們在找尋美食餐廳時非常順利,房內放置的小點心小孩子特別喜歡,浴室淋浴玻璃門若能加上防水膠條防止洗澡水流出會更好,房內的腳踏墊上發現毛髮及腳印.若能改善將可為貴館加分不少,若有機會我們還是會選擇入住此處,性價比很高"
8.0,乾淨舒適”離捷運站有點遠(走10分鐘) ，房間乾淨舒適，服務人員很親切
6.8,無”無
3.6,不會再光顧”無
7.2,很舒適，交通很方便”推薦
6.8,普通”無
4.0,整潔可以再加強一點”床上 洗手台 有毛髮
4.8,不太好”房間太舊，電視搖控不能操控
8.0,地點便利”小而精緻
4.8,清潔度需再加強”既然鋪地毯，就不要忽略地毯與牆角的位置，灰塵厚到不知多久沒清，冷氣出風口的灰塵也是，門後也是
6.4,設施皆尚可，吹風機時常過熱而無法使用，且淋浴間有些霉垢”設施皆尚可，吹風機時常過熱而無法使用，且淋浴間有些霉垢
6.4,地點方便，房間舒適，冷氣太冷”地點方便，到捷運或搭客運去機場都很方便，但房內冷氣調整到最高溫度卻依然很冷
8.4,近捷運站很方便”價格合理，態度良好，最大的優點是近捷運站。
4.8,平價住宿”適合出差客
4.0,普通”出差可住
4.8,普通”出差可住
10.0,舒服”舒服安全方便
6.4,設施故障”有些房間內的設施已故障卻未見修繕
8.3,品質很不錯”浴缸很大，房間床很舒適，地點離車站近
9.7,好”好
3.0,整潔及服務人員須加強”-
6.0,"乾淨但wifi恍如虛設的....”WIFI連網頁都開不了，環境尚屬乾淨，但是櫃台服務人員感覺並不專業。
"
8.4,大按摩浴缸很舒服，小孩都玩得很開心”雖然地點在永和，但是CP值不錯，帶兩個小孩也有足夠空間
8.7,物超所值的旅館”飯店設備好，房內設計莊重，整體設備完整
7.7,尚可，就是早餐差了點，CP值約中下”空間大，冷氣涼，安靜
5.3,"服務有待改進”交通方便 早餐喝到 酸掉的奶茶
跟服務人員說也沒得到任何反應

房間廁所地上還有頭髮

房間隔音有點差

反而警衛先生還比較親切服務好
"
10.0,讚”方便舒適房間大
6.0,簡單舒適”地點交通方便
8.3,物超所值”床的大小與舒適度極讚，室內家具齊全，電源供應來源便利無懈可擊
7.7,"物超所值 性價比高”交通方便  附近吃得很多 離夜市也近其實看了評價入住是滿驚艷的,因為我是從 ""限時優惠""訂的,所以覺得CP值非常高,有代客停車很方便,早餐種類雖然不多但都能在空盤10分鐘內補上,只是趕著出門的客人可能會失望,呵~~ 我們是有吃飽."
7.0,整體環境還不錯。很乾淨也很舒適 但早餐不是很優”床很大 空間很舒服
7.3,簡單乾淨”交通便利
7.0,隔音不佳”房間大 地點佳 價格合理房間窗戶隔音很糟糕 外面車輛的聲音與行人談話聽得非常清楚
8.3,CP質不錯！”交通方便 房間舒適 浴缸大
6.7,"可惜...服務人員和早餐需再加強”房間乾淨,空間大,安靜舒適...可惜淋浴間小了點.且水會滲出至浴室地板."
6.3,蠻舒適的環境”離捷運站很近
10.0,物超所值”乾淨 舒適 便宜
9.3,覺得還算不錯，只要上台北覺得懶得找住宿，這裡是還不的選擇”寢具舒服，位置很方便價錢合理，乾淨，寢具很舒服，我的房型還有浴缸，開車有泊車人員，只要上台北覺得懶得找住宿，這裡是還不的選擇。以住過3次，都是這樣感覺得
7.3,"CP值高”離捷運站不遠,服務人員親切,附近有便利商店"
7.3,價格實惠值得推薦”1.離捷運站很近。 2.房間乾淨舒適，浴室的水夠熱，除了花灑水量較無力外蓮蓬頭水量很夠。 3.安靜，但晚上會聽到隔壁浴室的開關門聲。
9.3,很不錯”浴缸很大！
8.3,非常的適合出差的地點”早餐好吃、交通方便、安靜
7.7,整體不錯”房間大小，地理位置，舒適安靜
7.7,整體還不錯，我很重視乾淨舒適”舒適，乾淨，方便整體還不錯，我很重視乾淨舒適，房間還有浴缸，床也很舒服，下次會再訂
8.0,乾淨”按摩浴缸
6.3,"還可接受”停車方便,房間舒適,早餐選擇略少,房間空調壞了,以房價來說尚可接受"
7.0,典雅溫馨的老派旅店”裝潢典雅、浴室乾淨明亮早餐質感還不差，但是補餐速度略慢，餐廳裝潢典雅但是座位太少。
6.0,不錯”離捷運站很近
9.3,整潔、便利、服務人員親切”按摩浴缸很棒、舒適、地點便利、房間免費零食飲料好吃、服務人員親切、停車方便，下次一定會再去住宿
8.7,"便捷, ”離客戶處超近; 枕頭很棒服務人員態度很好"
8.3,方便  乾淨”交通方便  乾淨  服務好
7.7,交通方便又舒適”有浴缸的大浴室
7.0,"簡單清潔的商務飯店”環境安靜,房間整潔,服務人員態度良好位於僻靜的小街道上,對於未開車旅客交通不便"
6.3,房間設備良好，工作人員態度優良”附近有捷運站、房間漂亮、工作人員態度優良
8.0,還不錯”還不錯相當不錯 值得一住
8.0,舒適且交通便利鄰近捷運站”1.
9.3,非常不错的酒店”干净丶安静丶房间大值得推荐的酒店。虽然离中心区稍微远点，但离地铁很近，附近吃的也很多。酒店网络不错。提供的免费饮料和小零食很贴心。
8.0,位置優越但客房空間寬敞”捷運旁~附早餐這間房間已經是第四次入住了~便宜又大碗的旅館~真的不錯~走8分鐘就到景安捷運站了~又有泊車服務~服務態度好~只不過早餐吃四次四次都大同小異沒啥變化
